排名	ID	交互次数
------------------------------
1	10824783362	9639
2	10625587864	8424
3	10853551845	7910
4	10824783343	6929
5	10524357625	6810
6	10659052673	6654
7	10772104679	6366
8	10424837501	6216
9	10886237054	5881
10	10868250626	5881
11	10039164022	5804
12	10424712759	5768
13	10824783366	5735
14	10595922772	5552
15	10553246483	4947
16	9974618587	4859
17	10886449475	4838
18	10811891004	4821
19	10849029284	4659
20	10851999223	4489
21	10749643640	4362
22	10816403489	4303
23	10739250794	4299
24	10749757459	4233
25	10749757460	4169
26	10808396732	4017
27	10836953863	3997
28	10823746791	3968
29	10809599966	3946
30	10853621339	3924
31	10039164388	3825
32	10785472446	3734
33	10497132981	3724
34	10553474580	3673
35	10670315577	3578
36	10754468765	3569
37	10804816415	3552
38	10886884896	3536
39	8330164334	3533
40	10823688040	3506
41	10780290722	3405
42	10824193767	3396
43	9607589956	3370
44	10715652521	3317
45	10362827649	3299
46	10803237422	3229
47	10740758321	3075
48	10776172033	3072
49	10790270290	3065
50	10861217231	3008
51	10875877468	3005
52	10882930068	2986
53	10850059229	2961
54	10541964581	2927
55	10838144562	2921
56	10887134989	2920
57	10580344077	2917
58	10737411931	2862
59	10661329628	2847
60	10784535376	2805
61	10887083949	2772
62	10441146010	2765
63	10896545939	2762
64	10352877313	2751
65	8724183457	2724
66	10842576948	2713
67	10800217646	2705
68	10874023293	2695
69	10750726179	2690
70	9996763360	2640
71	10765940486	2635
72	10848360576	2633
73	10792620148	2618
74	10744792926	2586
75	10630572175	2582
76	10906595145	2564
77	10849507525	2506
78	10727642349	2473
79	10927089399	2462
80	10820205606	2449
81	10798282230	2447
82	10851998585	2437
83	10861458062	2428
84	10798115510	2425
85	10758284645	2405
86	10723459195	2400
87	10837139870	2389
88	10768456315	2374
89	10804075688	2349
90	10895259043	2348
91	10875738652	2346
92	10125115717	2327
93	10889468197	2310
94	10821777943	2307
95	10805803361	2283
96	10724126129	2276
97	10836336564	2266
98	10823523213	2266
99	10786001202	2255
100	10672131311	2250
101	10265863978	2241
102	10753284239	2236
103	10846867809	2231
104	10867003401	2220
105	10770006694	2207
106	10771709715	2193
107	10919170192	2193
108	10851938138	2184
109	10819136379	2178
110	10704479066	2175
111	10828691409	2174
112	10698589695	2173
113	10783404566	2159
114	10738597790	2153
115	10846867810	2149
116	10820292361	2143
117	10871081537	2131
118	10824519487	2121
119	10886314574	2119
120	10890595011	2115
121	10619295949	2112
122	10860887688	2106
123	10872319514	2105
124	10930031774	2096
125	10749643644	2090
126	10825703367	2090
127	10810903186	2087
128	10752771903	2081
129	10926258763	2073
130	10861579422	2072
131	10624943451	2048
132	10769220292	2045
133	10899069542	2040
134	10792620150	2040
135	10789828684	2031
136	10807061570	2026
137	10727463644	2018
138	10898698295	2016
139	10879206675	2010
140	10722765008	1988
141	10547760753	1984
142	10885082251	1984
143	10282958644	1981
144	10675186536	1980
145	10920637725	1978
146	9274729293	1978
147	10541764774	1977
148	10891507701	1975
149	10854058547	1971
150	10750231663	1968
151	10777768797	1967
152	10731031117	1961
153	10370904893	1957
154	10747512147	1955
155	10823523218	1954
156	10780829584	1951
157	10816576415	1950
158	10783441501	1950
159	10895556148	1941
160	10898285431	1941
161	10810770392	1936
162	10859950312	1934
163	9448265169	1926
164	10651896847	1918
165	10756279925	1909
166	10802326466	1906
167	10747774105	1895
168	10147045710	1887
169	10929067623	1887
170	10749757461	1885
171	10860922018	1885
172	10574926401	1878
173	10796046448	1875
174	10887154769	1872
175	10047435893	1866
176	10879057367	1865
177	10824783595	1864
178	10825677657	1854
179	10808463292	1848
180	10763332661	1845
181	10760849656	1841
182	10906782689	1837
183	10824783372	1832
184	10822472781	1830
185	10869672775	1813
186	10569610953	1811
187	10929066417	1802
188	10367285885	1798
189	10859761942	1791
190	10906911786	1790
191	10212491917	1789
192	10673902318	1781
193	10678674561	1778
194	10864186569	1772
195	10545191041	1768
196	10886236944	1760
197	10818277122	1759
198	10573731527	1752
199	10814025044	1749
200	10683570679	1749
